,user_id,nombre,area_interes
0,user_1,Name 0,Tecnología
1,user_2,Name 1,Educación
2,user_3,Name 2,Negocios
3,user_4,Name 3,Educación
4,user_5,Name 4,Salud
5,user_6,Name 5,Negocios
6,user_7,Name 6,Negocios
7,user_8,Name 7,Negocios
8,user_9,Name 8,Negocios
9,user_10,Name 9,Arte
10,user_11,Name 10,Arte
11,user_12,Name 11,Negocios
12,user_13,Name 12,Arte
13,user_14,Name 13,Arte
14,user_15,Name 14,Ciencias
15,user_16,Name 15,Arte
16,user_17,Name 16,Tecnología
17,user_18,Name 17,Salud
18,user_19,Name 18,Salud
19,user_20,Name 19,Negocios
20,user_21,Name 20,Ciencias
21,user_22,Name 21,Arte
22,user_23,Name 22,Educación
23,user_24,Name 23,Ciencias
24,user_25,Name 24,Educación
25,user_26,Name 25,Ciencias
26,user_27,Name 26,Salud
27,user_28,Name 27,Salud
28,user_29,Name 28,Salud
29,user_30,Name 29,Salud
30,user_31,Name 30,Arte
31,user_32,Name 31,Tecnología
32,user_33,Name 32,Arte
33,user_34,Name 33,Tecnología
34,user_35,Name 34,Negocios
35,user_36,Name 35,Ciencias
36,user_37,Name 36,Negocios
37,user_38,Name 37,Ciencias
38,user_39,Name 38,Ciencias
39,user_40,Name 39,Negocios
40,user_41,Name 40,Arte
41,user_42,Name 41,Tecnología
42,user_43,Name 42,Educación
43,user_44,Name 43,Ciencias
44,user_45,Name 44,Ciencias
45,user_46,Name 45,Negocios
46,user_47,Name 46,Salud
47,user_48,Name 47,Ciencias
48,user_49,Name 48,Arte
49,user_50,Name 49,Salud
