,user_id,curso_id,rating,progreso
0,user_1,course_20,2.5,56.01
1,user_1,course_17,2.7,56.55
2,user_1,course_4,4.4,91.81
3,user_1,course_3,1.0,54.37
4,user_1,course_19,1.3,69.12
5,user_1,course_8,4.7,35.22
6,user_1,course_13,4.9,62.63
7,user_1,course_5,2.1,99.04
8,user_1,course_2,2.0,53.43
9,user_1,course_14,2.5,52.94
10,user_2,course_6,5.0,68.79
11,user_2,course_2,4.5,81.24
12,user_2,course_12,1.5,23.22
13,user_2,course_1,2.5,39.2
14,user_2,course_19,2.8,90.18
15,user_2,course_8,1.9,94.39
16,user_3,course_5,4.0,84.14
17,user_3,course_18,4.2,37.86
18,user_3,course_16,1.6,22.48
19,user_4,course_15,3.0,17.63
20,user_4,course_6,1.4,75.13
21,user_4,course_17,4.4,98.08
22,user_4,course_20,4.3,74.93
23,user_4,course_19,3.4,17.39
24,user_4,course_11,2.2,31.54
25,user_4,course_3,2.1,46.87
26,user_4,course_8,1.7,12.58
27,user_4,course_16,2.6,24.54
28,user_5,course_2,2.2,28.11
29,user_5,course_3,4.4,79.1
30,user_6,course_12,3.0,9.4
31,user_6,course_7,4.8,74.23
32,user_7,course_14,2.5,74.98
33,user_8,course_11,3.2,86.02
34,user_8,course_20,3.7,57.54
35,user_8,course_4,2.0,11.79
36,user_8,course_3,1.7,9.81
37,user_8,course_18,2.5,77.21
38,user_9,course_14,3.9,32.46
39,user_9,course_2,2.8,71.19
40,user_9,course_4,2.5,90.49
41,user_10,course_8,4.6,67.3
42,user_10,course_1,4.8,54.44
43,user_10,course_16,5.0,49.22
44,user_10,course_15,2.2,0.96
45,user_10,course_9,1.4,8.4
46,user_10,course_2,1.8,39.78
47,user_10,course_18,3.2,57.38
48,user_10,course_19,4.7,21.8
49,user_10,course_12,1.8,19.73
50,user_11,course_3,3.4,55.36
51,user_12,course_9,4.8,90.49
52,user_12,course_11,2.2,97.69
53,user_13,course_2,1.9,61.8
