,curso_id,categoria,area_interes,dificultad,duracion_horas,valoracion_instructor
0,course_1,Diseño,Ciencias,Intermedio,13,3.6
1,course_2,Idiomas,Ciencias,Avanzado,25,3.4
2,course_3,Matemáticas,Arte,Básico,36,3.5
3,course_4,Marketing,Arte,Intermedio,16,4.9
4,course_5,Matemáticas,Negocios,Intermedio,41,3.7
5,course_6,Marketing,Negocios,Básico,30,4.2
6,course_7,Programación,Arte,Intermedio,37,3.8
7,course_8,Marketing,Tecnología,Básico,26,4.1
8,course_9,Matemáticas,Tecnología,Avanzado,30,4.1
9,course_10,Programación,Arte,Básico,19,3.2
10,course_11,Marketing,Arte,Básico,25,4.3
11,course_12,Matemáticas,Tecnología,Básico,10,3.3
12,course_13,Idiomas,Educación,Básico,49,4.9
13,course_14,Marketing,Arte,Intermedio,39,4.3
14,course_15,Marketing,Ciencias,Avanzado,8,3.6
15,course_16,Diseño,Tecnología,Básico,37,4.4
16,course_17,Idiomas,Tecnología,Intermedio,5,4.9
17,course_18,Diseño,Salud,Intermedio,44,4.0
18,course_19,Diseño,Salud,Avanzado,45,4.4
19,course_20,Marketing,Arte,Avanzado,28,4.7
