,user_id,nombre,area_interes
0,user_1,Name 0,Educación
1,user_2,Name 1,Educación
2,user_3,Name 2,Negocios
3,user_4,Name 3,Ciencias
4,user_5,Name 4,Ciencias
5,user_6,Name 5,Salud
6,user_7,Name 6,Negocios
7,user_8,Name 7,Arte
8,user_9,Name 8,Tecnología
9,user_10,Name 9,Educación
10,user_11,Name 10,Arte
11,user_12,Name 11,Educación
12,user_13,Name 12,Negocios
13,user_14,Name 13,Salud
14,user_15,Name 14,Tecnología
15,user_16,Name 15,Tecnología
16,user_17,Name 16,Salud
17,user_18,Name 17,Tecnología
18,user_19,Name 18,Ciencias
19,user_20,Name 19,Tecnología
20,user_21,Name 20,Ciencias
21,user_22,Name 21,Negocios
22,user_23,Name 22,Tecnología
23,user_24,Name 23,Negocios
24,user_25,Name 24,Negocios
25,user_26,Name 25,Ciencias
26,user_27,Name 26,Negocios
27,user_28,Name 27,Negocios
28,user_29,Name 28,Negocios
29,user_30,Name 29,Arte
30,user_31,Name 30,Arte
31,user_32,Name 31,Salud
32,user_33,Name 32,Arte
33,user_34,Name 33,Educación
34,user_35,Name 34,Ciencias
35,user_36,Name 35,Salud
36,user_37,Name 36,Salud
37,user_38,Name 37,Educación
38,user_39,Name 38,Salud
39,user_40,Name 39,Ciencias
40,user_41,Name 40,Ciencias
41,user_42,Name 41,Tecnología
42,user_43,Name 42,Educación
43,user_44,Name 43,Ciencias
44,user_45,Name 44,Salud
45,user_46,Name 45,Educación
46,user_47,Name 46,Ciencias
47,user_48,Name 47,Tecnología
48,user_49,Name 48,Educación
49,user_50,Name 49,Negocios
