,user_id,curso_id,rating,progress
0,user_1,course_4,3.3,1.89
1,user_1,course_13,1.1,58.44
2,user_1,course_2,1.2,99.8
3,user_1,course_6,3.7,87.96
4,user_2,course_4,1.1,51.37
5,user_2,course_6,3.3,58.41
6,user_2,course_10,3.5,67.06
7,user_2,course_14,3.8,18.02
8,user_3,course_11,3.8,89.76
9,user_3,course_13,4.7,21.97
10,user_3,course_12,4.7,61.41
11,user_3,course_7,4.5,66.1
12,user_3,course_17,3.4,36.02
13,user_3,course_14,4.4,42.88
14,user_4,course_8,4.8,60.63
15,user_4,course_3,4.7,10.95
16,user_4,course_12,4.6,37.37
17,user_4,course_5,3.8,94.56
18,user_5,course_7,2.2,2.8
19,user_5,course_12,3.5,83.99
20,user_6,course_4,4.3,65.54
21,user_6,course_10,1.2,1.03
22,user_6,course_7,1.7,85.75
23,user_6,course_11,3.3,97.21
24,user_6,course_9,3.7,24.65
25,user_6,course_5,2.6,45.8
26,user_6,course_6,4.5,59.85
27,user_7,course_2,2.5,72.55
28,user_7,course_12,2.9,5.67
29,user_7,course_15,3.9,34.62
30,user_7,course_4,1.8,93.16
31,user_7,course_1,3.6,86.58
32,user_7,course_18,2.1,16.81
33,user_8,course_14,1.8,39.13
34,user_8,course_10,4.7,42.47
35,user_8,course_17,3.8,63.88
36,user_8,course_11,3.7,4.01
37,user_8,course_9,3.7,82.21
38,user_8,course_20,3.3,71.45
39,user_8,course_19,1.2,6.82
40,user_9,course_7,1.3,10.37
41,user_9,course_10,3.4,89.84
42,user_9,course_1,2.8,66.8
43,user_9,course_13,3.3,39.04
44,user_9,course_4,1.4,78.8
45,user_9,course_17,2.3,76.91
46,user_9,course_2,3.1,96.18
47,user_9,course_3,2.6,8.29
48,user_9,course_6,1.0,91.66
49,user_9,course_11,2.1,40.45
50,user_10,course_20,2.2,8.97
51,user_10,course_17,3.3,83.14
52,user_10,course_4,1.4,41.47
53,user_11,course_17,2.9,36.54
54,user_11,course_3,2.5,33.04
55,user_11,course_7,2.6,59.94
56,user_11,course_15,3.4,44.46
57,user_11,course_11,3.0,94.47
58,user_11,course_4,2.1,78.86
59,user_11,course_6,2.9,66.4
60,user_11,course_5,1.1,47.24
61,user_12,course_18,4.6,6.98
62,user_13,course_9,4.9,20.71
63,user_13,course_18,3.4,8.47
64,user_13,course_16,3.3,17.9
65,user_13,course_1,2.8,27.8
66,user_13,course_10,2.8,62.06
67,user_13,course_5,2.5,35.25
68,user_14,course_19,1.5,0.54
69,user_14,course_13,2.4,20.57
70,user_14,course_3,3.6,91.81
71,user_14,course_6,4.3,30.0
72,user_14,course_12,2.5,12.8
73,user_14,course_4,3.8,22.48
74,user_14,course_9,1.9,70.6
75,user_15,course_10,1.7,44.85
76,user_15,course_11,1.1,95.15
77,user_15,course_16,2.8,56.68
78,user_15,course_19,4.8,49.23
79,user_15,course_7,2.3,2.16
80,user_16,course_13,3.9,56.68
81,user_16,course_10,2.5,77.86
82,user_16,course_2,3.3,15.21
83,user_16,course_15,2.6,83.46
84,user_17,course_17,3.7,52.09
85,user_17,course_2,3.9,96.6
86,user_18,course_6,2.6,8.27
87,user_18,course_16,4.3,58.05
88,user_18,course_11,1.2,63.05
89,user_18,course_14,3.1,85.81
90,user_18,course_4,4.9,58.32
91,user_18,course_13,2.6,36.23
92,user_18,course_17,1.7,21.13
93,user_18,course_7,3.6,97.76
94,user_19,course_14,4.9,17.32
95,user_19,course_18,3.8,5.36
96,user_20,course_15,3.7,19.94
97,user_20,course_17,3.1,76.18
98,user_20,course_3,2.7,2.48
99,user_20,course_14,4.3,31.8
100,user_20,course_13,1.8,37.98
101,user_20,course_8,4.5,38.1
102,user_20,course_1,3.7,1.23
103,user_20,course_19,4.6,13.48
104,user_21,course_13,3.6,23.89
105,user_21,course_3,2.5,41.56
106,user_21,course_16,1.5,37.64
107,user_21,course_1,4.1,38.88
108,user_21,course_9,1.8,32.45
109,user_22,course_4,1.8,9.67
110,user_22,course_17,4.5,2.2
111,user_22,course_19,2.4,98.17
112,user_22,course_16,4.9,76.47
113,user_22,course_5,3.5,43.07
114,user_22,course_1,4.4,27.67
115,user_22,course_10,4.2,94.79
116,user_22,course_3,4.6,0.32
117,user_22,course_18,2.8,52.24
118,user_23,course_15,2.3,35.85
119,user_23,course_18,3.0,66.15
120,user_24,course_9,2.2,77.93
121,user_24,course_18,2.2,87.29
122,user_24,course_15,3.8,60.99
123,user_24,course_20,4.8,35.05
124,user_24,course_16,1.9,20.64
125,user_24,course_3,4.4,23.05
126,user_24,course_2,4.1,85.7
127,user_25,course_14,4.8,65.76
