,curso_id,categoria,area_interes,dificultad,duracion_horas,valoracion_instructor
0,course_1,Marketing,Arte,Intermedio,38,4.9
1,course_2,Programación,Salud,Básico,21,4.7
2,course_3,Idiomas,Arte,Intermedio,40,3.4
3,course_4,Matemáticas,Negocios,Básico,46,4.5
4,course_5,Diseño,Salud,Básico,32,3.1
5,course_6,Idiomas,Salud,Intermedio,23,4.6
6,course_7,Idiomas,Arte,Avanzado,49,3.7
7,course_8,Diseño,Ciencias,Básico,36,4.5
8,course_9,Marketing,Salud,Avanzado,13,4.4
9,course_10,Programación,Arte,Básico,39,4.7
10,course_11,Matemáticas,Tecnología,Avanzado,35,4.8
11,course_12,Diseño,Negocios,Avanzado,44,3.8
12,course_13,Idiomas,Tecnología,Intermedio,50,3.8
13,course_14,Idiomas,Ciencias,Básico,32,3.4
14,course_15,Marketing,Arte,Intermedio,41,3.2
15,course_16,Matemáticas,Salud,Básico,32,4.8
16,course_17,Marketing,Arte,Básico,11,4.3
17,course_18,Matemáticas,Salud,Avanzado,9,3.9
18,course_19,Diseño,Salud,Intermedio,47,3.6
19,course_20,Idiomas,Ciencias,Intermedio,27,3.2
